link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,cost,geometry,macro_node_id,macro_link_id,meso_link_id,cell_type,additional_cost,mvmt_txt_id
27569,12106,12107,,1,7,1,1800,60,,1,,"LINESTRING (-112.0889142 33.6401118, -112.0888387 33.6401123)",,22,21,1,0,
27767,12106,12306,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.0889142 33.6401118, -112.0888384 33.6400807)",,22,21,2,0,
27570,12107,12108,,1,7,1,1800,60,,1,,"LINESTRING (-112.0888387 33.6401123, -112.0887633 33.6401128)",,22,21,1,0,
27768,12107,12307,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.0888387 33.6401123, -112.0887630 33.6400812)",,22,21,2,0,
27571,12108,12109,,1,7,1,1800,60,,1,,"LINESTRING (-112.0887633 33.6401128, -112.0886878 33.6401133)",,22,21,1,0,
27769,12108,12308,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.0887633 33.6401128, -112.0886875 33.6400817)",,22,21,2,0,
27572,12109,12110,,1,7,1,1800,60,,1,,"LINESTRING (-112.0886878 33.6401133, -112.0886123 33.6401138)",,22,21,1,0,
27770,12109,12309,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.0886878 33.6401133, -112.0886120 33.6400823)",,22,21,2,0,
27573,12110,12111,,1,7,1,1800,60,,1,,"LINESTRING (-112.0886123 33.6401138, -112.0885369 33.6401143)",,22,21,1,0,
27771,12110,12310,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.0886123 33.6401138, -112.0885366 33.6400828)",,22,21,2,0,
27574,12111,12112,,1,7,1,1800,60,,1,,"LINESTRING (-112.0885369 33.6401143, -112.0884614 33.6401149)",,22,21,1,0,
27772,12111,12311,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.0885369 33.6401143, -112.0884611 33.6400833)",,22,21,2,0,
27575,12112,12113,,1,7,1,1800,60,,1,,"LINESTRING (-112.0884614 33.6401149, -112.0883860 33.6401154)",,22,21,1,0,
27773,12112,12312,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.0884614 33.6401149, -112.0883857 33.6400838)",,22,21,2,0,
27576,12113,12114,,1,7,1,1800,60,,1,,"LINESTRING (-112.0883860 33.6401154, -112.0883105 33.6401159)",,22,21,1,0,
27774,12113,12313,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.0883860 33.6401154, -112.0883102 33.6400843)",,22,21,2,0,
27577,12114,12115,,1,7,1,1800,60,,1,,"LINESTRING (-112.0883105 33.6401159, -112.0882350 33.6401164)",,22,21,1,0,
27775,12114,12314,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.0883105 33.6401159, -112.0882347 33.6400848)",,22,21,2,0,
27578,12115,12116,,1,7,1,1800,60,,1,,"LINESTRING (-112.0882350 33.6401164, -112.0881596 33.6401169)",,22,21,1,0,
27776,12115,12315,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.0882350 33.6401164, -112.0881593 33.6400854)",,22,21,2,0,
27579,12116,12117,,1,7,1,1800,60,,1,,"LINESTRING (-112.0881596 33.6401169, -112.0880841 33.6401174)",,22,21,1,0,
27777,12116,12316,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.0881596 33.6401169, -112.0880838 33.6400859)",,22,21,2,0,
27580,12117,12118,,1,7,1,1800,60,,1,,"LINESTRING (-112.0880841 33.6401174, -112.0880087 33.6401180)",,22,21,1,0,
27778,12117,12317,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.0880841 33.6401174, -112.0880084 33.6400864)",,22,21,2,0,
27581,12118,12119,,1,7,1,1800,60,,1,,"LINESTRING (-112.0880087 33.6401180, -112.0879332 33.6401185)",,22,21,1,0,
27779,12118,12318,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.0880087 33.6401180, -112.0879329 33.6400869)",,22,21,2,0,
27582,12119,12120,,1,7,1,1800,60,,1,,"LINESTRING (-112.0879332 33.6401185, -112.0878578 33.6401190)",,22,21,1,0,
27780,12119,12319,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.0879332 33.6401185, -112.0878574 33.6400874)",,22,21,2,0,
27583,12120,12121,,1,7,1,1800,60,,1,,"LINESTRING (-112.0878578 33.6401190, -112.0877823 33.6401195)",,22,21,1,0,
27781,12120,12320,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.0878578 33.6401190, -112.0877820 33.6400879)",,22,21,2,0,
27584,12121,12122,,1,7,1,1800,60,,1,,"LINESTRING (-112.0877823 33.6401195, -112.0877068 33.6401200)",,22,21,1,0,
27782,12121,12321,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.0877823 33.6401195, -112.0877065 33.6400884)",,22,21,2,0,
27585,12122,12123,,1,7,1,1800,60,,1,,"LINESTRING (-112.0877068 33.6401200, -112.0876314 33.6401205)",,22,21,1,0,
27783,12122,12322,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.0877068 33.6401200, -112.0876311 33.6400890)",,22,21,2,0,
28774,12123,12523,,1,6.99,1,1800,60,,1,,"LINESTRING (-112.0876292 33.6401205, -112.0875539 33.6401211)",,23,22,1,0,
28975,12123,12725,,1,7.81,1,1800,60,,1,,"LINESTRING (-112.0876292 33.6401205, -112.0875536 33.6400895)",,23,22,2,0,
28181,12125,11927,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1024965 33.6399866, -112.1024214 33.6400186)",,22,21,2,0,
27785,12125,12126,,1,7,1,1800,60,,1,,"LINESTRING (-112.1024965 33.6399866, -112.1024211 33.6399871)",,22,21,1,0,
27983,12125,12325,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1024965 33.6399866, -112.1024207 33.6399555)",,22,21,2,0,
28182,12126,11928,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1024211 33.6399871, -112.1023459 33.6400192)",,22,21,2,0,
27786,12126,12127,,1,7,1,1800,60,,1,,"LINESTRING (-112.1024211 33.6399871, -112.1023456 33.6399876)",,22,21,1,0,
27984,12126,12326,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1024211 33.6399871, -112.1023453 33.6399560)",,22,21,2,0,
28183,12127,11929,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1023456 33.6399876, -112.1022704 33.6400197)",,22,21,2,0,
27787,12127,12128,,1,7,1,1800,60,,1,,"LINESTRING (-112.1023456 33.6399876, -112.1022701 33.6399881)",,22,21,1,0,
27985,12127,12327,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1023456 33.6399876, -112.1022698 33.6399566)",,22,21,2,0,
28184,12128,11930,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1022701 33.6399881, -112.1021950 33.6400202)",,22,21,2,0,
27788,12128,12129,,1,7,1,1800,60,,1,,"LINESTRING (-112.1022701 33.6399881, -112.1021947 33.6399887)",,22,21,1,0,
